Date,Technology,Healthcare,Financials,Energy
2013-01-01,21.775854110717773,70.83999633789062,44.65999984741211,88.70999908447266
2013-01-02,21.573524475097656,70.73999786376953,44.56999969482422,88.55000305175781
2013-01-03,21.343048731486004,71.55000305175781,45.36000061035156,88.95999908447266
2013-01-04,21.262617111206055,71.4000015258789,45.40999984741211,87.93000030517578
2013-01-07,21.220640182495117,71.41000366210938,45.5,88.4800033569336
2013-01-08,21.213109970092773,71.7300033569336,45.470001220703125,88.13999938964844
2013-01-09,21.237447102864582,72.19000244140625,46.150001525878906,89.0999984741211
2013-01-10,21.310137430826824,72.3499984741211,46.13999938964844,89.61000061035156
2013-01-11,20.969663619995117,72.55999755859375,45.880001068115234,89.58000183105469
2013-01-14,20.901892344156902,72.37000274658203,46.349998474121094,89.52999877929688
2013-01-15,21.00409698486328,72.58000183105469,46.81999969482422,89.47000122070312
2013-01-16,21.001218795776367,72.9000015258789,46.439998626708984,90.19999694824219
2013-01-17,20.912508010864258,73.2300033569336,46.459999084472656,90.80000305175781
2013-01-18,20.922279357910156,72.69000244140625,46.540000915527344,90.91999816894531
2013-01-21,21.50785191853841,72.8499984741211,46.22999954223633,90.69999694824219
2013-01-22,20.86447016398112,73.0999984741211,46.369998931884766,91.3499984741211
2013-01-23,20.81687005360921,73.91999816894531,47.15999984741211,91.7300033569336
2013-01-24,20.92079798380534,73.62000274658203,46.63999938964844,91.11000061035156
2013-01-25,21.07921536763509,74.41000366210938,47.119998931884766,91.76000213623047
2013-01-28,21.009990692138672,74.08999633789062,47.130001068115234,90.66999816894531
2013-01-29,20.876220703125,73.91999816894531,47.04999923706055,89.97000122070312
2013-01-30,21.18004099527995,74.18000030517578,47.849998474121094,90.04000091552734
2013-01-31,20.743879000345867,74.11000061035156,47.68000030517578,89.1500015258789
2013-02-01,21.00469716389974,74.66000366210938,48.790000915527344,89.73999786376953
2013-02-04,20.982484181722004,75.38999938964844,48.61000061035156,89.79000091552734
2013-02-05,21.12342071533203,75.05999755859375,48.22999954223633,88.25
2013-02-06,21.389158248901367,75.4800033569336,48.630001068115234,88.61000061035156
2013-02-07,21.526812235514324,75.41000366210938,48.65999984741211,88.27999877929688
2013-02-08,21.375916798909504,75.80000305175781,49.13999938964844,88.45999908447266
2013-02-11,21.433340072631836,75.66000366210938,48.68000030517578,88.66999816894531
2013-02-12,21.47304852803548,75.80999755859375,49.220001220703125,88.5199966430664
2013-02-13,21.42879295349121,76.16000366210938,48.880001068115234,88.36000061035156
2013-02-14,21.556550979614258,76.95999908447266,49.45000076293945,89.31999969482422
2013-02-15,21.243896484375,76.6500015258789,48.61000061035156,88.97000122070312
2013-02-18,21.109623591105144,76.87000274658203,48.25,88.58999633789062
2013-02-19,21.291039784749348,76.25,48.90999984741211,89.19999694824219
2013-02-20,20.991108894348145,75.56999969482422,47.70000076293945,87.69999694824219
2013-02-21,21.05922253926595,75.75,47.599998474121094,88.51000213623047
2013-02-22,21.234004656473797,76.31999969482422,49.279998779296875,89.52999877929688
2013-02-25,21.20477867126465,76.11000061035156,48.91999816894531,89.55000305175781
2013-02-26,21.166284879048664,76.69999694824219,48.90999984741211,89.43000030517578
2013-02-27,21.23661454518636,77.19999694824219,49.099998474121094,88.94999694824219
2013-02-28,21.577947934468586,77.66000366210938,49.4900016784668,89.61000061035156
2013-03-01,21.365816116333008,77.38999938964844,50.029998779296875,89.55999755859375
2013-03-04,21.451231002807617,77.75,50.630001068115234,88.70999908447266
2013-03-05,21.40912691752116,78.19000244140625,50.20000076293945,88.97000122070312
2013-03-06,21.466535568237305,78.44000244140625,50.47999954223633,89.16000366210938
2013-03-07,21.30734380086263,78.55999755859375,50.279998779296875,89.16000366210938
2013-03-08,21.290538787841797,78.55000305175781,50.15999984741211,89.26000213623047
2013-03-11,21.381829261779785,79.0999984741211,51.0,89.83000183105469
2013-03-12,21.420959790547688,79.19000244140625,50.02000045776367,89.37000274658203
2013-03-13,21.530227025349934,78.80999755859375,49.5099983215332,88.7699966430664
2013-03-14,21.571696599324543,78.86000061035156,49.20000076293945,88.58000183105469
2013-03-15,21.617950439453125,79.44999694824219,49.119998931884766,88.62999725341797
2013-03-18,21.526910146077473,79.01000213623047,48.349998474121094,88.16999816894531
2013-03-19,21.674938201904297,79.73999786376953,48.779998779296875,89.29000091552734
2013-03-20,21.659229914347332,79.68000030517578,48.52000045776367,89.0199966430664
2013-03-21,21.653372446695965,80.8499984741211,48.63999938964844,90.12999725341797
2013-03-22,21.534100850423176,81.2699966430664,47.77000045776367,90.58000183105469
2013-03-25,21.43130366007487,81.52999877929688,47.459999084472656,90.11000061035156
2013-03-26,21.326005299886067,81.93000030517578,47.83000183105469,90.7699966430664
2013-03-27,21.49866263071696,82.69000244140625,48.279998779296875,90.58000183105469
2013-03-28,21.3877960840861,82.06999969482422,46.849998474121094,89.93000030517578
2013-03-29,21.257453600565594,82.41000366210938,47.4900016784668,89.7699966430664
2013-04-01,21.13671112060547,82.04000091552734,47.90999984741211,89.01000213623047
2013-04-02,21.06747531890869,81.11000061035156,48.58000183105469,88.5999984741211
2013-04-03,21.439998944600422,81.5199966430664,48.68000030517578,88.7699966430664
2013-04-04,21.87154420216878,82.0199966430664,49.25,88.68000030517578
2013-04-05,21.410438855489094,82.31999969482422,49.310001373291016,89.22000122070312
2013-04-08,21.303674062093098,82.73999786376953,49.0099983215332,88.98999786376953
2013-04-09,21.084153811136883,81.70999908447266,47.93000030517578,86.48999786376953
2013-04-10,21.348986625671387,83.44000244140625,48.4900016784668,86.61000061035156
